,0
5952,0.8369458
5956,0.72694033
5986,0.8574268
6051,0.9147867
6077,0.78772676
6081,0.87895256
6103,0.85133135
6133,0.88755894
6142,0.7790624
6150,0.9013242
6196,0.88738495
6242,0.8521778
6289,0.8524343
6315,0.8638565
6329,0.8443918
6362,0.8363653
6396,0.7941931
6401,0.71880585
6435,0.8797605
6441,0.7834714
6446,0.7166146
6479,0.90443
6489,0.858982
6491,0.8071772
6497,0.85997903
6548,0.8729195
6556,0.7903878
6567,0.85370475
6633,0.863637
6653,0.8526177
6678,0.881592
6724,0.93053705
6725,0.87562805
6759,0.89297557
6771,0.88138926
6799,0.81171674
6844,0.94435346
6861,0.8373919
6881,0.7068929
6891,0.82130474
6907,0.83082366
6910,0.82218313
6911,0.8966313
6912,0.8412168
6961,0.9200692
6963,0.85644954
6971,0.89888966
7081,0.93369687
7154,0.9158057
7167,0.80869704
7174,0.8554434
7189,0.85718256
7198,0.81905955
7237,0.82869995
7254,0.949654
7285,0.77965343
7287,0.87547547
7307,0.9085846
7375,0.79622984
7402,0.8717711
7403,0.7802932
7416,0.8523794
7423,0.885255
7487,0.94813305
7502,0.8369817
7516,0.84957296
7524,0.8776561
7527,0.8050401
7600,0.777275
7641,0.893105
7684,0.9418296
7742,0.76571256
7746,0.692134
7798,0.67540544
7809,0.8505141
7818,0.9011298
7819,0.83835477
7929,0.8798332
8027,0.85210896
8074,0.8110073
8166,0.87661886
8168,0.8010488
8201,0.8148723
8216,0.921055
8237,0.6775099
8243,0.8312707
8267,0.83044046
8295,0.87934774
8302,0.85829335
8374,0.8904811
8376,0.95500934
8383,0.894282
8432,0.8965213
8464,0.80990255
8485,0.8919205
8492,0.9099521
8532,0.8467328
8569,0.84221214
8622,0.81000453
8632,0.87195075
8662,0.8644898
8671,0.8118645
8708,0.8393159
8710,0.87608045
8818,0.8950598
8819,0.74974984
8830,0.9105915
8878,0.9116637
8884,0.84280425
8902,0.85696924
8951,0.8567205
8957,0.87359184
8968,0.89304143
8974,0.8800212
9001,0.8111667
9035,0.8964842
9037,0.8485668
9060,0.8424191
9070,0.7973938
9107,0.84412307
9130,0.8647694
9136,0.75185317
9158,0.7441625
9177,0.8612941
9225,0.79612434
9284,0.91030854
9290,0.8709814
9292,0.88358617
9336,0.8248693
9419,0.8365262
