,0
232997,0.81776756
118340,0.9118193
154419,0.8644705
215903,0.77152824
81714,0.6750156
148695,0.7317367
102346,0.64554054
141604,0.71618164
206323,0.47121236
16352,0.49322435
188783,0.76012
64955,0.710175
18445,0.57678527
217843,0.7951235
75566,0.61924636
112143,0.6947363
77127,0.7196385
210263,0.6683185
118398,0.841038
31770,0.8520573
83040,0.77790445
24861,0.8229472
102568,0.795014
134927,0.59370697
230069,0.7026841
7081,0.81281006
99544,0.73812574
239528,0.70811194
13204,0.7774111
205726,0.7967553
13826,0.69929904
216578,0.7664613
8632,0.5016826
84838,0.84738463
206387,0.74327815
194476,0.9149449
254467,0.9362985
134594,0.73998725
210076,0.7939875
169572,0.64455223
177212,0.7354728
201986,0.7237932
72216,0.88660127
204144,0.8556275
164129,0.7688089
213299,0.88798445
31491,0.9511571
243310,0.95997167
109958,0.8376106
208336,0.6376571
192484,0.74493825
90196,0.92937
139763,0.4905091
24617,0.7668366
11202,0.85494816
149585,0.9313967
175635,0.34038192
114915,0.5913071
134845,0.86373
28095,0.7531872
70561,0.6588877
168977,0.47688985
229398,0.82418853
203124,0.6121884
89473,0.62155837
2384,0.6183548
120588,0.41141328
34822,0.81350774
38077,0.6131589
168384,0.776136
80678,0.8317052
79543,0.5693428
125686,0.713809
203487,0.67386687
2725,0.6764699
245441,0.85497975
172064,0.86111176
116713,0.65559757
197685,0.636098
100589,0.8178184
252749,0.7377379
113395,0.6910318
89045,0.82956517
124017,0.89352095
188601,0.8446771
239133,0.7910214
61450,0.9098892
29101,0.7949289
147743,0.67052686
209956,0.8006148
128329,0.74999064
95963,0.7820082
39348,0.74477726
107865,0.5000329
235748,0.72581327
241439,0.7651174
221561,0.7299221
20422,0.76767844
152649,0.93822587
198035,0.82828885
40274,0.940448
193477,0.8404838
136714,0.6834943
186302,0.7765623
2622,0.77792144
226085,0.8224309
253308,0.804353
246281,0.64275146
176200,0.70651144
91665,0.74279803
58210,0.7915021
73906,0.88357246
116170,0.84288013
147591,0.82824725
186826,0.87085676
216493,0.8748542
55829,0.9281605
207428,0.92905957
170949,0.72750676
198506,0.6920395
161105,0.6649907
